Type,Upgrade ID,Median Abs Error,Median APE,Median Abs Error - Savings,Median APE - Savings,Mean Abs Error,Mean APE,Mean Abs Error - Savings,Mean APE - Savings,Weighted Mean APE,Weighted Mean APE - Savings
Electric Resistance,0.0,12766.0,76.7,,,14155.0,76.4,,,77.6,
Methane Gas,0.0,25705.0,72.4,,,28588.0,65.0,,,70.9,
Propane,0.0,16874.0,81.5,,,16874.0,81.5,,,81.5,
Fuel Oil,0.0,39853.0,85.8,,,39853.0,85.8,,,86.0,
Heat Pump,0.0,17774.0,84.2,,,17774.0,84.2,,,84.2,
AC,0.0,20718.0,76.1,,,26259.0,73.1,,,75.1,
Room AC,0.0,60594.0,73.7,,,60594.0,73.7,,,73.7,
No Cooling,0.0,17945.0,73.1,,,18870.0,63.6,,,72.3,
Total,0.0,19564.0,76.1,,,26041.0,71.6,,,74.7,
Electric Resistance,1.0,11756.0,75.2,1010.0,100.0,12821.0,75.1,1334.0,100.0,75.9,100.0
Methane Gas,1.0,19916.0,61.3,6673.0,100.0,18714.0,56.4,9874.0,100.0,61.5,100.0
Propane,1.0,14164.0,78.7,2711.0,100.0,14164.0,78.7,2711.0,100.0,78.7,100.0
Fuel Oil,1.0,32067.0,82.0,7786.0,100.0,32067.0,82.0,7786.0,100.0,83.1,100.0
Heat Pump,1.0,13746.0,80.4,4027.0,100.0,13746.0,80.4,4027.0,100.0,80.4,100.0
Total,1.0,16653.0,68.9,4027.0,100.0,18685.0,65.4,7356.0,100.0,68.0,100.0
Electric Resistance,11.05,10515.0,73.0,2252.0,100.0,10691.0,72.1,3464.0,100.0,72.4,100.0
Methane Gas,11.05,13275.0,55.8,14310.0,100.0,13712.0,52.3,16549.0,100.0,53.9,100.0
Propane,11.05,10650.0,73.6,6224.0,100.0,10650.0,73.6,6224.0,100.0,73.6,100.0
Fuel Oil,11.05,18811.0,73.2,21042.0,100.0,18811.0,73.2,21042.0,100.0,74.3,100.0
Heat Pump,11.05,14504.0,81.3,3270.0,100.0,14504.0,81.3,3270.0,100.0,81.3,100.0
Total,11.05,12624.0,61.8,8369.0,100.0,13645.0,61.2,13380.0,100.0,60.8,100.0
Electric Resistance,13.01,9876.0,71.8,2891.0,100.0,10079.0,71.0,4077.0,100.0,71.2,100.0
Methane Gas,13.01,8046.0,45.1,17357.0,100.0,9931.0,42.0,19854.0,100.0,46.1,100.0
Propane,13.01,10107.0,72.5,6768.0,100.0,10107.0,72.5,6768.0,100.0,72.5,100.0
Fuel Oil,13.01,15989.0,68.6,23864.0,100.0,15989.0,68.6,23864.0,100.0,71.1,100.0
Heat Pump,13.01,11984.0,78.2,5790.0,100.0,11984.0,78.2,5790.0,100.0,78.2,100.0
Total,13.01,9876.0,58.1,8074.0,100.0,10801.0,54.2,15945.0,100.0,55.3,100.0
Electric Resistance,3.0,11705.0,75.1,1061.0,100.0,11096.0,73.0,3059.0,100.0,73.1,100.0
Methane Gas,3.0,19594.0,62.2,10390.0,100.0,19322.0,60.1,11323.0,100.0,62.2,100.0
Propane,3.0,11532.0,75.1,5342.0,100.0,11532.0,75.1,5342.0,100.0,75.1,100.0
Fuel Oil,3.0,26290.0,80.3,13563.0,100.0,26290.0,80.3,13563.0,100.0,80.2,100.0
Heat Pump,3.0,17054.0,83.6,720.0,100.0,17054.0,83.6,720.0,100.0,83.6,100.0
Total,3.0,17054.0,66.6,7748.0,100.0,18098.0,67.0,9153.0,100.0,67.3,100.0
Electric Resistance,4.0,9063.0,68.8,4197.0,100.0,9192.0,69.3,4964.0,100.0,69.3,100.0
Methane Gas,4.0,13509.0,51.7,15950.0,100.0,12636.0,49.2,16888.0,100.0,51.9,100.0
Propane,4.0,9853.0,72.0,7021.0,100.0,9853.0,72.0,7021.0,100.0,72.0,100.0
Fuel Oil,4.0,17953.0,73.4,21900.0,100.0,17953.0,73.4,21900.0,100.0,73.4,100.0
Heat Pump,4.0,11851.0,78.0,5922.0,100.0,11851.0,78.0,5922.0,100.0,78.0,100.0
Total,4.0,11851.0,62.8,9621.0,100.0,12444.0,58.6,14148.0,100.0,58.6,100.0
Electricity,6.0,15999.0,80.7,1775.0,100.0,13758.0,76.8,1665.0,100.0,78.0,100.0
Methane Gas,6.0,21361.0,70.3,4313.0,100.0,24263.0,59.1,4324.0,100.0,67.4,100.0
Fuel Oil,6.0,35155.0,84.2,4698.0,100.0,35155.0,84.2,4698.0,100.0,84.4,100.0
Total,6.0,16493.0,71.5,3103.0,100.0,22455.0,67.3,3586.0,100.0,71.8,100.0
Electric Resistance,9.0,6289.0,61.8,6478.0,100.0,6271.0,60.8,7884.0,100.0,60.6,100.0
Methane Gas,9.0,10688.0,70.8,17297.0,73.3,10072.0,65.7,19361.0,218.2,65.6,77.5
